k,seed,init_method,dist_mode,n_iter,converged,final_cost,init_cost,fit_time,predict_time,train_acc,test_acc,test_acc_clean,outlier_correct,n_outlier,n_empty,min_cluster,max_cluster,n_pure_clusters
30,2,forgy,loop,19,1,3122967179.89536,3506518660.71403,0.478116458333333,0.00260304166666667,0.749333333333333,0.745,0.746031746031746,8,11,0,17,84,2
30,3,forgy,loop,21,1,3141008026.79773,3542159396.96397,0.522696,0.00272408333333333,0.745333333333333,0.71,0.71957671957672,6,11,0,15,78,2
30,4,forgy,loop,18,1,3163624859.9065,3561696964.67579,0.442385958333333,0.002671125,0.725333333333333,0.725,0.724867724867725,8,11,0,18,81,0
30,5,forgy,loop,29,1,3146342750.75818,3530397992.54215,0.717854458333333,0.00252445833333333,0.721333333333333,0.7,0.703703703703704,7,11,0,17,84,0
30,6,forgy,loop,20,1,3168314309.70427,3558807498.17601,0.50033675,0.00283091666666667,0.720666666666667,0.665,0.661375661375661,8,11,0,20,96,0
30,7,forgy,loop,26,1,3132193420.12724,3552415083.66287,0.6497785,0.002588125,0.750666666666667,0.72,0.71957671957672,8,11,0,24,81,0
30,8,forgy,loop,30,1,3145684210.60948,3542784708.29577,0.742681041666667,0.0026695,0.716,0.685,0.693121693121693,6,11,0,16,106,1
30,9,forgy,loop,20,1,3147328855.38778,3515280561.02263,0.496233708333333,0.00281966666666667,0.739333333333333,0.72,0.714285714285714,9,11,0,21,102,1
40,1050,forgy,loop,23,1,2975393982.07052,3360751946.05713,0.792234791666667,0.00346566666666667,0.811333333333333,0.795,0.804232804232804,7,11,0,12,74,3
40,1,forgy,loop,16,1,2993849880.97671,3308852211.82747,0.549250541666667,0.00343170833333333,0.746666666666667,0.75,0.746031746031746,9,11,0,17,56,3
40,2,forgy,loop,17,1,3006996687.60575,3361270520.5485,0.581634208333333,0.00343908333333333,0.769333333333333,0.75,0.746031746031746,9,11,0,10,83,5
40,3,forgy,loop,17,1,3017620963.33854,3351787102.91851,0.58363325,0.003947125,0.768,0.705,0.708994708994709,7,11,0,11,70,5
40,4,forgy,loop,17,1,3009707597.03621,3360426010.0994,0.589378375,0.003593375,0.758666666666667,0.765,0.751322751322751,11,11,0,14,60,2
40,5,forgy,loop,22,1,3028012882.22315,3431059147.21708,0.75920225,0.003462125,0.738666666666667,0.72,0.714285714285714,9,11,0,14,83,2
40,6,forgy,loop,16,1,2989530408.88697,3372341744.13143,0.549469083333333,0.00357179166666667,0.767333333333333,0.75,0.751322751322751,8,11,0,13,89,1
40,7,forgy,loop,21,1,3014789596.69187,3406543170.16996,0.719763916666667,0.00343708333333333,0.753333333333333,0.71,0.724867724867725,5,11,0,2,70,2
40,8,forgy,loop,15,1,3003714867.41868,3365808988.92697,0.511451458333333,0.00351104166666667,0.764666666666667,0.75,0.740740740740741,10,11,0,14,103,3
40,9,forgy,loop,22,1,3005697541.23249,3340968921.78501,0.757067875,0.00365358333333333,0.748,0.74,0.735449735449735,9,11,0,16,64,1
50,1050,forgy,loop,27,1,2877641253.81266,3226684834.55301,1.25472991666667,0.00587766666666667,0.813333333333333,0.795,0.804232804232804,7,11,0,3,61,6
50,1,forgy,loop,15,1,2910748009.73045,3191270811.95221,0.694160208333333,0.00549854166666667,0.751333333333333,0.745,0.735449735449735,10,11,0,12,71,5
50,2,forgy,loop,17,1,2891410070.66169,3232618105.29137,0.785086791666667,0.00541116666666667,0.767333333333333,0.775,0.767195767195767,10,11,0,9,63,5
50,3,forgy,loop,22,1,2897293053.52998,3211567103.95216,1.019733625,0.00569720833333333,0.777333333333333,0.76,0.761904761904762,8,11,0,6,71,5
50,4,forgy,loop,15,1,2884469384.67255,3196020400.01335,0.697859875,0.00582466666666667,0.798,0.805,0.798941798941799,10,11,0,7,79,3
50,5,forgy,loop,18,1,2908526979.28672,3321797632.69865,0.835785833333333,0.0054685,0.768666666666667,0.715,0.714285714285714,8,11,0,5,60,3
50,6,forgy,loop,26,1,2882561045.52282,3213141842.06322,1.21636483333333,0.00541658333333333,0.790666666666667,0.75,0.751322751322751,8,11,0,2,72,6
50,7,forgy,loop,17,1,2919176694.87318,3266066705.77157,0.794500833333333,0.0058005,0.765333333333333,0.71,0.71957671957672,6,11,0,1,62,5
50,8,forgy,loop,17,1,2895116681.90171,3232740001.50791,0.782619375,0.00550404166666667,0.773333333333333,0.785,0.777777777777778,10,11,0,6,54,4
50,9,forgy,loop,16,1,2921697320.63209,3218280070.08409,0.743693666666667,0.00550370833333333,0.772666666666667,0.73,0.724867724867725,9,11,0,4,63,3
60,1050,forgy,loop,16,1,2803030885.69196,3124474322.27787,0.811313708333333,0.00515533333333333,0.801333333333333,0.775,0.777777777777778,8,11,0,2,52,6
60,1,forgy,loop,20,1,2807305825.34707,3084170071.28369,1.01846845833333,0.00505075,0.768,0.755,0.761904761904762,7,11,0,6,55,8
60,2,forgy,loop,15,1,2776088362.89032,3088188318.63584,0.76043925,0.00502641666666667,0.789333333333333,0.775,0.772486772486772,9,11,0,8,55,11
60,3,forgy,loop,13,1,2823262465.20876,3126256062.20898,0.658764,0.00533041666666667,0.806666666666667,0.77,0.767195767195767,9,11,0,3,73,7
60,4,forgy,loop,11,1,2802254054.5424,3088672143.49535,0.543244208333333,0.00500391666666667,0.786666666666667,0.72,0.714285714285714,9,11,0,5,63,9
60,5,forgy,loop,19,1,2821531316.64817,3190558816.60392,0.965200416666667,0.005231625,0.786666666666667,0.76,0.756613756613757,9,11,0,8,59,5
60,6,forgy,loop,17,1,2793818649.92825,3105370760.33251,0.8574875,0.00505854166666667,0.798666666666667,0.735,0.73015873015873,9,11,0,2,71,10
60,7,forgy,loop,19,1,2829348104.28859,3119461012.70943,0.968324708333333,0.005284375,0.769333333333333,0.75,0.761904761904762,6,11,0,1,52,9
60,8,forgy,loop,13,1,2797460040.59007,3125305132.14706,0.666357708333333,0.00516370833333333,0.799333333333333,0.8,0.798941798941799,9,11,0,5,53,8
60,9,forgy,loop,18,1,2792946472.73493,3126202812.89504,0.920456541666667,0.00684925,0.78,0.75,0.756613756613757,7,11,0,1,49,9
75,1050,forgy,loop,12,1,2682351398.04389,2955473528.7697,0.726198375,0.006608,0.816666666666667,0.765,0.772486772486772,7,11,0,1,48,15
75,1,forgy,loop,15,1,2684962596.10755,2949919435.47467,0.909305916666667,0.00665570833333333,0.779333333333333,0.775,0.772486772486772,9,11,0,2,49,14
75,2,forgy,loop,12,1,2678586058.67511,2925330698.05832,0.726399916666667,0.00664983333333333,0.798,0.755,0.746031746031746,10,11,0,4,43,15
75,3,forgy,loop,12,1,2683810599.26116,2982140932.89196,0.729965791666667,0.006977875,0.807333333333333,0.805,0.80952380952381,8,11,0,3,43,12
75,4,forgy,loop,33,1,2683495765.24463,2920379860.71074,2.008613625,0.00677383333333333,0.810666666666667,0.745,0.746031746031746,8,11,0,2,50,14
75,5,forgy,loop,16,1,2682253628.15843,2998928486.07226,0.975230791666667,0.00689854166666667,0.807333333333333,0.745,0.746031746031746,8,11,0,2,49,13
75,6,forgy,loop,15,1,2683688876.17769,2981793906.68808,0.910142833333333,0.00657145833333333,0.83,0.805,0.804232804232804,9,11,0,1,47,15
75,7,forgy,loop,11,1,2717473461.08091,2958016732.70613,0.668085083333333,0.00666179166666667,0.788666666666667,0.765,0.772486772486772,7,11,0,1,54,11
75,8,forgy,loop,11,1,2680730353.77367,2954906802.2623,0.671853083333333,0.00663295833333333,0.819333333333333,0.805,0.804232804232804,9,11,0,5,41,10
75,9,forgy,loop,28,1,2683370378.91708,2985775172.9609,1.70157133333333,0.00677966666666667,0.802666666666667,0.77,0.772486772486772,8,11,0,1,42,16
100,1050,forgy,loop,11,1,2525471563.23413,2779793146.20059,0.94258125,0.00969354166666667,0.827333333333333,0.8,0.798941798941799,9,11,0,1,35,27
100,1,forgy,loop,11,1,2538892586.54479,2749553721.97843,0.942020833333333,0.00953454166666667,0.786666666666667,0.78,0.777777777777778,9,11,0,2,36,26
100,2,forgy,loop,15,1,2545356757.85009,2745760017.80437,1.28144241666667,0.009655875,0.804666666666667,0.775,0.767195767195767,10,11,0,1,41,26
100,3,forgy,loop,12,1,2549412805.47491,2771010525.97548,1.02823975,0.00949733333333333,0.798666666666667,0.815,0.82010582010582,8,11,0,2,37,24
100,4,forgy,loop,15,1,2548021415.97266,2728959857.47221,1.28350133333333,0.009921375,0.812666666666667,0.805,0.804232804232804,9,11,0,2,33,27
100,5,forgy,loop,19,1,2531547379.97795,2768768830.83819,1.63369025,0.00954,0.819333333333333,0.8,0.798941798941799,9,11,0,2,36,29
100,6,forgy,loop,12,1,2523734587.20216,2806901883.9086,1.02771520833333,0.00975795833333333,0.835333333333333,0.79,0.788359788359788,9,11,0,1,43,27
100,7,forgy,loop,13,1,2528828995.50165,2778771531.00564,1.1192125,0.00957133333333333,0.817333333333333,0.785,0.783068783068783,9,11,0,1,37,28
100,8,forgy,loop,13,1,2524833874.00022,2775280531.86109,1.11659270833333,0.009836,0.826666666666667,0.805,0.804232804232804,9,11,0,1,37,27
100,9,forgy,loop,11,1,2551513993.99065,2765799054.55824,0.943964041666667,0.00944479166666667,0.791333333333333,0.75,0.751322751322751,8,11,0,1,31,25
125,1050,forgy,loop,10,1,2417331203.35925,2623508145.4409,1.01561316666667,0.0110458333333333,0.835333333333333,0.81,0.798941798941799,11,11,0,1,32,48
125,1,forgy,loop,11,1,2415030231.91079,2604924191.53034,1.11680591666667,0.0113374583333333,0.797333333333333,0.77,0.772486772486772,8,11,0,1,37,37
125,2,forgy,loop,11,1,2424103266.39467,2621134501.17797,1.11665325,0.010758875,0.828666666666667,0.79,0.788359788359788,9,11,0,1,33,48
125,3,forgy,loop,12,1,2430473098.5222,2601896358.77766,1.20840420833333,0.0113495416666667,0.821333333333333,0.825,0.825396825396825,9,11,0,1,31,38
125,4,forgy,loop,11,1,2423865805.92341,2589706050.08952,1.11816658333333,0.01109475,0.813333333333333,0.79,0.788359788359788,9,11,0,2,30,36
125,5,forgy,loop,17,1,2418107441.01606,2606198950.33378,1.750519125,0.01123325,0.820666666666667,0.785,0.783068783068783,9,11,0,2,32,41
125,6,forgy,loop,10,1,2417318433.70164,2630616213.03961,1.034206875,0.0115525,0.842666666666667,0.835,0.830687830687831,10,11,0,1,34,49
125,7,forgy,loop,14,1,2425181598.81675,2634604612.62558,1.44859466666667,0.011500875,0.836,0.765,0.761904761904762,9,11,0,1,32,40
