k,seed,init_method,dist_mode,n_iter,converged,final_cost,init_cost,fit_time,predict_time,train_acc,test_acc,test_acc_clean,outlier_correct,n_outlier,n_empty,min_cluster,max_cluster,n_pure_clusters
400,3,forgy,loop,7,1,1599535733.65632,1637932338.92927,2.81847233333333,0.0531795,0.877333333333333,0.87,0.867724867724868,10,11,0,1,18,269
400,4,forgy,loop,6,1,1610143345.95253,1640395479.90711,2.4203285,0.0540855416666667,0.888666666666667,0.855,0.857142857142857,9,11,0,1,13,285
400,5,forgy,loop,5,1,1617025404.578,1641879290.38518,2.01405345833333,0.05386675,0.879333333333333,0.85,0.851851851851852,9,11,0,1,13,278
400,6,forgy,loop,6,1,1597164228.86768,1621464271.03465,2.41830379166667,0.0544995833333333,0.882666666666667,0.845,0.846560846560847,9,11,0,1,14,281
400,7,forgy,loop,6,1,1595245108.65069,1627623911.93743,2.419481875,0.0535535416666667,0.89,0.865,0.862433862433862,10,11,0,1,12,288
400,8,forgy,loop,5,1,1638018422.22815,1668512312.76876,2.01977241666667,0.0547647916666667,0.883333333333333,0.85,0.846560846560847,10,11,0,1,13,276
400,9,forgy,loop,4,1,1626788008.79518,1662345158.46234,1.61667604166667,0.0534816666666667,0.883333333333333,0.835,0.835978835978836,9,11,0,1,16,279
500,1050,forgy,loop,5,1,1380314990.58319,1410719089.04179,2.037187375,0.0469422916666667,0.900666666666667,0.83,0.825396825396825,10,11,0,1,11,392
500,1,forgy,loop,4,1,1396831108.88492,1409921689.64087,1.62903795833333,0.0469300833333333,0.894666666666667,0.825,0.830687830687831,8,11,0,1,10,385
500,2,forgy,loop,4,1,1383513373.2561,1402064093.54127,1.63377083333333,0.0466984583333333,0.906666666666667,0.85,0.851851851851852,9,11,0,1,11,386
500,3,forgy,loop,6,1,1386251512.53214,1410974995.27769,2.439159875,0.04772825,0.906,0.855,0.851851851851852,10,11,0,1,12,389
500,4,forgy,loop,5,1,1383101442.99333,1409150618.64396,2.03980054166667,0.0472038333333333,0.904,0.845,0.846560846560847,9,11,0,1,12,387
500,5,forgy,loop,7,1,1399265514.21667,1414812045.92341,2.84418433333333,0.047367375,0.895333333333333,0.84,0.841269841269841,9,11,0,1,10,382
500,6,forgy,loop,4,1,1390430687.12103,1407757814.61606,1.62748479166667,0.0471506666666667,0.904666666666667,0.87,0.873015873015873,9,11,0,1,11,387
500,7,forgy,loop,5,1,1381369403.39643,1400791578.04239,2.034959125,0.0473162083333333,0.911333333333333,0.855,0.857142857142857,9,11,0,1,9,394
500,8,forgy,loop,6,1,1408469166.10025,1428280202.14001,2.45180683333333,0.0475266666666667,0.906,0.845,0.835978835978836,11,11,0,1,12,389
500,9,forgy,loop,4,1,1401204511.42619,1415797953.58849,1.63354916666667,0.047224125,0.898666666666667,0.86,0.857142857142857,10,11,0,1,10,386
750,1050,forgy,loop,4,1,944155111.198809,950458378.665476,2.67527529166667,0.0810967916666667,0.936,0.84,0.841269841269841,9,11,0,1,8,663
750,1,forgy,loop,4,1,944508030.221428,951585506.916666,2.672323,0.0805785,0.939333333333333,0.855,0.862433862433862,8,11,0,1,7,672
750,2,forgy,loop,4,1,924070802.855952,932463076.136904,2.67772408333333,0.0808473333333333,0.935333333333333,0.835,0.830687830687831,10,11,0,1,8,663
750,3,forgy,loop,5,1,957794418.77619,961482676.364286,3.377752625,0.079905625,0.934,0.86,0.857142857142857,10,11,0,1,10,663
750,4,forgy,loop,5,1,931539409.484524,941941558.296428,3.34395925,0.0811429166666667,0.946,0.875,0.873015873015873,10,11,0,1,8,676
750,5,forgy,loop,4,1,933568227.147619,938885262.980952,2.70824154166667,0.085303625,0.937333333333333,0.845,0.835978835978836,11,11,0,1,7,668
750,6,forgy,loop,4,1,934466700.590476,941799252.392857,2.74204475,0.08106225,0.933333333333333,0.845,0.846560846560847,9,11,0,1,8,661
750,7,forgy,loop,4,1,931717146.046428,940088499.09365,2.758857875,0.0875418333333333,0.932,0.82,0.82010582010582,9,11,0,1,8,657
750,8,forgy,loop,4,1,943498568.295238,953009821.439286,2.715981875,0.0810811666666667,0.936666666666667,0.83,0.825396825396825,10,11,0,1,7,665
750,9,forgy,loop,4,1,941093586.599206,947197117.925793,2.694711625,0.0810927083333333,0.926666666666667,0.845,0.846560846560847,9,11,0,1,9,656
1000,1050,forgy,loop,4,1,580913249.483333,582925681.533333,3.41536970833333,0.1001155,0.960666666666667,0.845,0.835978835978836,11,11,0,1,6,946
1000,1,forgy,loop,4,1,565928245.816667,571981416.466667,3.41916,0.099849875,0.959333333333333,0.86,0.862433862433862,9,11,0,1,6,943
1000,2,forgy,loop,3,1,556334288.45,560571121.2,2.564057625,0.1000345,0.962,0.85,0.841269841269841,11,11,0,1,5,943
1000,3,forgy,loop,3,1,584471308.471429,587914131.304762,2.56543354166667,0.099847125,0.962,0.84,0.841269841269841,9,11,0,1,7,947
1000,4,forgy,loop,3,1,563033333.216667,567543542.383333,2.562521125,0.099565375,0.960666666666667,0.855,0.851851851851852,10,11,0,1,5,943
1000,5,forgy,loop,4,1,564715065.316667,566512558.816667,3.417866625,0.0996676666666667,0.96,0.84,0.830687830687831,11,11,0,1,6,943
1000,6,forgy,loop,4,1,567709493.383333,574346005.716667,3.42716058333333,0.100096125,0.958666666666667,0.86,0.857142857142857,10,11,0,1,6,942
1000,7,forgy,loop,4,1,569795224.266667,573813971.8,3.41553191666667,0.0997096666666667,0.957333333333333,0.845,0.841269841269841,10,11,0,1,5,939
1000,8,forgy,loop,5,1,555819972.033333,561685496.983333,4.27713283333333,0.100137833333333,0.971333333333333,0.85,0.841269841269841,11,11,0,1,6,960
1000,9,forgy,loop,3,1,564107220.075,566987914.408333,2.56402954166667,0.09962725,0.954666666666667,0.845,0.846560846560847,9,11,0,1,8,936
1500,1050,forgy,loop,2,1,0,0,2.89030416666667,0.168045,1,0.87,0.867724867724868,10,11,0,1,1,1500
1500,1,forgy,loop,2,1,0,0,2.89619029166667,0.168049541666667,1,0.87,0.867724867724868,10,11,0,1,1,1500
1500,2,forgy,loop,2,1,0,0,2.89963416666667,0.171422625,1,0.87,0.867724867724868,10,11,0,1,1,1500
1500,3,forgy,loop,2,1,0,0,2.89497958333333,0.168848208333333,1,0.87,0.867724867724868,10,11,0,1,1,1500
1500,4,forgy,loop,2,1,0,0,2.89838720833333,0.168540666666667,1,0.87,0.867724867724868,10,11,0,1,1,1500
1500,5,forgy,loop,2,1,0,0,2.89335716666667,0.169700416666667,1,0.87,0.867724867724868,10,11,0,1,1,1500
1500,6,forgy,loop,2,1,0,0,2.91040429166667,0.168315958333333,1,0.87,0.867724867724868,10,11,0,1,1,1500
1500,7,forgy,loop,2,1,0,0,2.89785691666667,0.167734291666667,1,0.87,0.867724867724868,10,11,0,1,1,1500
1500,8,forgy,loop,2,1,0,0,2.8960745,0.169702875,1,0.87,0.867724867724868,10,11,0,1,1,1500
1500,9,forgy,loop,2,1,0,0,2.9050815,0.171855541666667,1,0.87,0.867724867724868,10,11,0,1,1,1500
