k,n_seeds,mean_final_cost,std_final_cost,mean_train_acc,std_train_acc,mean_test_acc,std_test_acc,mean_test_acc_clean,std_test_acc_clean,mean_n_iter,std_n_iter,mean_fit_time,std_fit_time,mean_time_per_iter,std_time_per_iter,mean_predict_time,std_predict_time,mean_n_empty,std_n_empty,mean_min_cluster,std_min_cluster,mean_max_cluster,std_max_cluster,mean_n_pure_clusters,std_n_pure_clusters,mean_outlier_correct,std_outlier_correct,mean_converged,std_converged,min_final_cost,max_final_cost,min_test_acc,max_test_acc,min_fit_time,max_fit_time,best_seed,cost_of_best_seed,best_seed_test_acc
200,10,2149405149.53116,13163154.7115015,0.8396,0.00987427134364365,0.8125,0.0175198300346905,0.811640211640212,0.0178470696870174,9.7,2.35937844922485,1.47777907916666,0.361361410788015,0.152326962072811,0.00063912407795958,0.0176975916666667,0.000494999220912204,0,0,1,0,23.5,3.30823887354653,91,5.8309518948453,9.1,0.737864787372622,1,0,2123572587.84264,2164061050.17955,0.785,0.835,1.06237058333333,2.296461125,6,2123572587.84264,0.83
250,10,1994547048.78074,13868885.227678,0.849333333333333,0.0119215542942237,0.824,0.0141027972008708,0.821693121693122,0.0143389605814306,8,1.56347191994114,1.62625700416667,0.316218769670436,0.20330794003863,0.000649313858688457,0.0218344541666667,0.000342073949013021,0,0,1,0,21,2.86744175568088,131.3,5.39650092395269,9.5,0.707106781186548,1,0,1973146789.52888,2017917006.53066,0.805,0.845,1.21505183333333,2.22955258333333,2,1973146789.52888,0.825
300,10,1852610579.74502,17832879.1276677,0.862666666666667,0.0123648246606609,0.829,0.0194079021706795,0.828571428571429,0.0207484178763353,6.7,1.25166555703457,1.6189615375,0.303004247679908,0.24162801718254,0.000485872386391029,0.027669675,0.00041150806558333,0,0,1,0,17.7,2.16281709300111,178.1,9.91575626073081,9.2,0.918936583472682,1,0,1830305574.87627,1877035427.20894,0.8,0.855,1.20664358333333,2.176284,6,1830305574.87627,0.845
400,10,1608313642.59166,14899972.9365603,0.881933333333333,0.00545644934973032,0.8505,0.0125720147770974,0.848677248677249,0.0139318643090875,5.6,0.843274042711568,2.2564962125,0.33693833712712,0.403024848323413,0.000972804519204891,0.053869675,0.000515141889763884,0,0,1,0,14.3,2.26323269290239,278.4,5.69990253327975,9.7,0.674948557710553,1,0,1595240555.70321,1638018422.22815,0.83,0.87,1.61667604166667,2.81847233333333,2,1595240555.70321,0.83
500,10,1391075171.05102,9774085.44891769,0.9028,0.00534073560383986,0.8475,0.0135912553585834,0.847089947089947,0.0142082074505276,5,1.05409255338946,2.03709408333333,0.427506705065162,0.407482326150794,0.000833041713999436,0.0472087958333333,0.00030191010387492,0,0,1,0,10.8,1.03279555898864,387.7,3.46570499481867,9.4,0.843274042711568,1,0,1380314990.58319,1408469166.10025,0.825,0.87,1.62748479166667,2.84418433333333,1050,1380314990.58319,0.83
750,10,938641200.121587,9516727.10620407,0.935666666666667,0.00502094379008658,0.845,0.0156347191994114,0.843915343915344,0.0167780402032103,4.2,0.421637021355784,2.83668719166667,0.277819909172199,0.675563238541667,0.00746641272665528,0.081965275,0.00243690812695369,0,0,1,0,8,0.942809041582063,664.4,6.22182538417072,9.5,0.849836585598797,1,0,924070802.855952,957794418.77619,0.82,0.875,2.672323,3.377752625,2,924070802.855952,0.835
1000,10,567282740.05131,9282989.24490642,0.960666666666667,0.00435464843161443,0.849,0.00737864787372623,0.844973544973545,0.00967609645456442,3.7,0.674948557710553,3.16282635,0.577760849533842,0.854787938611111,0.000866673526670901,0.0998650916666666,0.000218391743494391,0,0,1,0,6,0.942809041582063,944.2,6.37355648144913,10.1,0.875595035770913,1,0,555819972.033333,584471308.471429,0.84,0.86,2.562521125,4.27713283333333,8,555819972.033333,0.85
1500,10,0,0,1,0,0.87,1.1702778228589e-16,0.867724867724868,1.1702778228589e-16,2,0,2.89822697916667,0.00580447208630686,1.44911348958333,0.00290223604315343,0.1692215125,0.00143900132993881,0,0,1,0,1,0,1500,0,10,0,1,0,0,0,0.87,0.87,2.89030416666667,2.91040429166667,1050,0,0.87
