digit,test_images,centroids_with_label,correct,accuracy
0,18,44,17,0.944444444444444
1,22,44,21,0.954545454545455
2,24,47,23,0.958333333333333
3,18,49,17,0.944444444444444
4,14,34,11,0.785714285714286
5,21,29,12,0.571428571428571
6,18,35,18,1
7,20,46,16,0.8
8,22,44,14,0.636363636363636
9,23,28,17,0.739130434782609
